7,20-Oct,2013-10-20T10:00:00Z,2013-10-20T10:00:00Z,Sun,Oct,10:00 AM,,,NA,REGULAR,reg,FALSE,Bye Week,Oakland Raiders,Raiders,OAK,raiders_visitor_small_helmet.png,raiders_visitor_large_helmet.png,Oakland Raiders,Raiders,OAK,raiders_visitor_small_helmet.png,raiders_visitor_large_helmet.png,Oakland Raiders,Raiders,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,TRUE,OAK,OAK,Bye Week,O.co Coliseum
8,27-Oct,2013-10-27T13:05:00Z,2013-10-27T16:05:00Z,Sun,Oct,1:05 PM,,,CBS,REGULAR,reg,FALSE,Oakland vs Pittsburgh,Oakland Raiders,Raiders,OAK,raiders_home_small_helmet.png,raiders_home_large_helmet.png,Pittsburgh Steelers,Steelers,PIT,steelers_visitor_small_helmet.png,steelers_visitor_large_helmet.png,Pittsburgh Steelers,Steelers,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,OAK,PIT,Oak vs Pit,O.co Coliseum
9,3-Nov,2013-11-03T13:05:00Z,2013-11-03T16:05:00Z,Sun,Nov,1:05 PM,,,FOX,REGULAR,reg,FALSE,Oakland vs Philadelphia,Oakland Raiders,Raiders,OAK,raiders_home_small_helmet.png,raiders_home_large_helmet.png,Philadelphia Eagles,Eagles,PHI,eagles_visitor_small_helmet.png,eagles_visitor_large_helmet.png,Philadelphia Eagles,Eagles,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,OAK,PHI,Oak vs Phi,O.co Coliseum
10,10-Nov,2013-11-10T10:00:00Z,2013-11-10T10:00:00Z,Sun,Nov,10:00 AM,,,CBS,REGULAR,reg,FALSE,Oakland at New York,New York Giants,Giants,NYG,giants_home_small_helmet.png,giants_home_large_helmet.png,Oakland Raiders,Raiders,OAK,raiders_visitor_small_helmet.png,raiders_visitor_large_helmet.png,New York Giants,Giants,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,NYG,OAK,Oak at NYG,Metlife Stadium
11,17-Nov,2013-11-17T10:00:00Z,2013-11-17T10:00:00Z,Sun,Nov,10:00 AM,,,CBS,REGULAR,reg,FALSE,Oakland at Houston,Houston Texans,Texans,HOU,texans_home_small_helmet.png,texans_home_large_helmet.png,Oakland Raiders,Raiders,OAK,raiders_visitor_small_helmet.png,raiders_visitor_large_helmet.png,Houston Texans,Texans,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,HOU,OAK,Oak at Hou,Reliant Stadium
12,24-Nov,2013-11-24T13:05:00Z,2013-11-24T16:05:00Z,Sun,Nov,1:05 PM,,,CBS,REGULAR,reg,FALSE,Oakland vs Tennessee,Oakland Raiders,Raiders,OAK,raiders_home_small_helmet.png,raiders_home_large_helmet.png,Tennessee Titans,Titans,TEN,titans_visitor_small_helmet.png,titans_visitor_large_helmet.png,Tennessee Titans,Titans,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,OAK,TEN,Oak vs Ten,O.co Coliseum
13,28-Nov,2013-11-28T13:30:00Z,2013-11-28T16:30:00Z,Thur,Nov,1:30 PM,,,CBS,REGULAR,reg,FALSE,Oakland at Dallas,Dallas Cowboys,Cowboys,DAL,cowboys_home_small_helmet.png,cowboys_home_large_helmet.png,Oakland Raiders,Raiders,OAK,raiders_visitor_small_helmet.png,raiders_visitor_large_helmet.png,Dallas Cowboys,Cowboys,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,DAL,OAK,Oak at Dal,Cowboys Stadium
14,8-Dec,2013-12-08T10:00:00Z,2013-12-08T10:00:00Z,Sun,Dec,10:00 AM,,,CBS,REGULAR,reg,FALSE,Oakland at New York,New York Jets,Jets,NYJ,jets_home_small_helmet.png,jets_home_large_helmet.png,Oakland Raiders,Raiders,OAK,raiders_visitor_small_helmet.png,raiders_visitor_large_helmet.png,New York Jets,Jets,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,NYJ,OAK,Oak at NYJ,Metlife Stadium
15,15-Dec,2013-12-15T13:05:00Z,2013-12-15T16:05:00Z,Sun,Dec,1:05 PM,,,CBS,REGULAR,reg,FALSE,Oakland vs Kansas City,Oakland Raiders,Raiders,OAK,raiders_home_small_helmet.png,raiders_home_large_helmet.png,Kansas City Chiefs,Chiefs,KC,chiefs_visitor_small_helmet.png,chiefs_visitor_large_helmet.png,Kansas City Chiefs,Chiefs,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,OAK,KC,Oak vs KC,O.co Coliseum
16,22-Dec,2013-12-22T13:25:00Z,2013-12-22T16:25:00Z,Sun,Dec,1:25 PM,,,CBS,REGULAR,reg,FALSE,Oakland at San Diego,San Diego Chargers,Chargers,SD,chargers_home_small_helmet.png,chargers_home_large_helmet.png,Oakland Raiders,Raiders,OAK,raiders_visitor_small_helmet.png,raiders_visitor_large_helmet.png,San Diego Chargers,Chargers,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,SD,OAK,Oak at SD,Qualcomm Stadium
17,29-Dec,2013-12-29T13:25:00Z,2013-12-29T16:25:00Z,Sun,Dec,1:25 PM,,,CBS,REGULAR,reg,FALSE,Oakland vs Denver,Oakland Raiders,Raiders,OAK,raiders_home_small_helmet.png,raiders_home_large_helmet.png,Denver Broncos,Broncos,DEN,broncos_visitor_small_helmet.png,broncos_visitor_large_helmet.png,Denver Broncos,Broncos,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,FALSE,OAK,DEN,Oak vs Den,O.co Coliseum
